fec_vta,suc_vta,or_vta,stat_vta,cve_esp,clas_car,stat_reg,cve_gra,cve_serv,tip_com,par_dat,emi_stat,cor_sc,per_int,ser_id,zon_vta,vta_id,bol_vta,fi_vta,var_ord,fec_ord,cve_ord_dte,cve_vta_ord,imp_ant,diniper,digitover,gcioid,fec_arb
2024-10-27,1285,2782571265,1,21608,V,1,0,0,11,322187,0,3,4,0,22,184,3,-1,0.00,1901-01-01 00:00:00,822248    ,3019,229.00,2024-11-05 18:20:00,2,1,2024-11-21 03:16:03.455857000
2024-10-24,1265,687355791245,1,174445,V,1,0,0,12,1635908,0,3,0,0,53,184,1,3,0.00,1901-01-01 00:00:00,00824704  ,1593,377.00,2024-11-03 16:42:00,2,1,2024-11-21 03:16:03.455857000
2024-10-24,1265,687355791245,1,174445,V,1,0,0,12,1635908,0,3,0,0,53,184,1,3,0.00,1901-01-01 00:00:00,00824704  ,1593,377.00,2024-11-03 16:42:00,2,1,2024-11-21 03:16:03.455857000
2024-10-26,1278,16830211258,1,109937,V,1,0,0,11,949476,0,3,3,0,32,184,3,0,0.00,1901-01-01 00:00:00,40512     ,822,162.00,2024-11-02 15:35:00,9,1,2024-11-21 03:16:03.455857000
2024-10-26,2345,16676522325,1,140596,V,1,0,0,11,1384477,0,3,3,0,6,184,3,0,0.00,1901-01-01 00:00:00,00803810  ,5833,207.00,2024-11-03 17:24:00,5,1,2024-11-21 03:16:03.455857000
2024-10-17,2211,7741002191,1,62380,V,1,0,0,11,901644,0,4,5,0,17,184,3,-1,0.00,1901-01-01 00:00:00,00853008  ,3695,227.00,2024-10-28 19:23:00,1,1,2024-11-21 03:16:03.455857000
2024-10-13,2088,4507642068,1,576448,V,0,0,0,11,576448,0,0,96,0,0,184,3,0,38592.00,1901-01-01 00:00:00,999999    ,0,402.00,2024-10-30 11:11:00,4,1,2024-11-21 03:16:03.455857000
2024-10-13,2088,4507642068,1,576448,V,0,0,0,11,576448,0,0,96,0,0,184,3,0,38592.00,1901-01-01 00:00:00,999999    ,0,402.00,2024-10-30 11:11:00,4,1,2024-11-21 03:16:03.455857000
2024-10-18,2088,4510642068,1,62847,V,1,0,0,11,576904,0,4,4,0,65,400,3,0,0.00,1901-01-01 00:00:00,00930705  ,6698,246.00,2024-10-26 19:31:00,9,1,2024-11-21 03:16:03.455857000
2024-10-27,2156,2536002136,1,1206,V,1,0,0,11,330434,0,3,3,0,95,184,3,0,0.00,1901-01-01 00:00:00,00931006  ,8411,163.00,2024-11-06 19:13:00,9,1,2024-11-21 03:16:03.455857000
