vta_can,id_tip_car,cve_art,imp_sob,man_vta,dig_over,or_vta,stat_per_vta,ges_vta,cla_vta,din_ipe,gci_oid,fec_arb,mto_vta,imp_doc,fec_ibo,vta_clas,stat_car_vta,ser_id_car,pag_car,pag_car_tx,rut_abt,nov_abt,fid_dpt,fec_ctd,man_abt,man_otor_vta
21608,8782,31059608,7273.00,229.00,2,2782571265,1,0,0,2024-11-05 18:20:00,1,2024-11-21 03:16:03.455857000,16272.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,916.00,0,0,0,2024-11-20 00:17:00,4,15572.00
174445,8247,31060794,10595.00,377.00,2,687355791245,1,0,1,2024-11-03 16:42:00,1,2024-11-21 03:16:03.455857000,20094.00,0.00,2024-11-21 04:08:10.371061000,V,IN    ,0,0.00,226.00,0,0,0,2024-11-18 00:39:00,0,38228.00
174445,8247,31060787,8516.00,377.00,2,687355791245,1,0,1,2024-11-03 16:42:00,1,2024-11-21 03:16:03.455857000,16116.00,1899.00,2024-11-21 04:08:10.371061000,V,IN    ,0,0.00,226.00,0,0,0,2024-11-18 00:39:00,0,38228.00
109937,9022,31059608,16049.00,162.00,9,16830211258,1,0,0,2024-11-02 15:35:00,1,2024-11-21 03:16:03.455857000,25048.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,509.00,0,0,0,2024-11-17 00:31:00,3,24439.00
140596,8038,31059608,9713.00,207.00,5,16676522325,1,0,0,2024-11-03 17:24:00,1,2024-11-21 03:16:03.455857000,18712.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,621.00,0,0,0,2024-11-18 00:37:00,3,20493.00
62380,8530,31060787,10595.00,227.00,1,7741002191,1,0,0,2024-10-28 19:23:00,1,2024-11-21 03:16:03.455857000,20094.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1135.00,0,0,0,2024-11-20 00:20:00,5,22019.00
576448,4000,31060794,9797.00,402.00,4,4507642068,1,0,0,2024-10-30 11:11:00,1,2024-11-21 03:16:03.455857000,19296.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,38592.00,0,0,0,2024-10-13 11:11:00,96,0.00
576448,4000,31060787,9797.00,402.00,4,4507642068,1,0,0,2024-10-30 11:11:00,1,2024-11-21 03:16:03.455857000,19296.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,38592.00,0,0,0,2024-10-13 11:11:00,96,0.00
62847,9307,31060794,8731.00,246.00,9,4510642068,1,0,0,2024-10-26 19:31:00,1,2024-11-21 03:16:03.455857000,17280.00,950.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,984.00,0,0,0,2024-11-16 00:25:00,4,22632.00
1206,9310,31059608,15025.00,163.00,9,2536002136,1,0,0,2024-11-06 19:13:00,1,2024-11-21 03:16:03.455857000,24024.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,489.00,0,0,0,2024-11-20 15:38:00,3,24613.00
101287,8830,31059608,9089.00,170.00,7,6376472218,1,0,0,2024-11-09 15:15:00,1,2024-11-21 03:16:03.455857000,18088.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,510.00,0,0,0,2024-11-16 00:32:00,3,16830.00
1394656,4000,31060794,9106.00,255.00,1,19752782024,1,0,0,2024-10-27 15:30:00,1,2024-11-21 03:16:03.455857000,18605.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,18360.00,0,0,0,2024-10-18 15:30:00,72,0.00
73140,8699,31060794,5113.00,320.00,3,5968292182,1,0,0,2024-10-27 15:35:00,1,2024-11-21 03:16:03.455857000,14612.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,5760.00,0,0,0,2024-11-17 00:25:00,18,10880.00
68861,9597,31060794,8933.00,434.00,3,5679952078,1,0,0,2024-10-20 17:31:00,1,2024-11-21 03:16:03.455857000,18432.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,2170.00,0,0,0,2024-11-18 00:23:00,5,39494.00
68861,9597,31060787,8933.00,434.00,3,5679952078,1,0,0,2024-10-20 17:31:00,1,2024-11-21 03:16:03.455857000,18432.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,2170.00,0,0,0,2024-11-18 00:23:00,5,39494.00
70828,9640,31060787,17297.00,174.00,5,4025432130,1,0,0,2024-10-22 14:47:00,1,2024-11-21 03:16:03.455857000,26796.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,870.00,0,0,0,2024-11-20 00:23:00,5,25926.00
449833,4000,31059608,8977.00,176.00,3,3449352050,1,0,0,2024-11-07 13:30:00,1,2024-11-21 03:16:03.455857000,16976.00,2000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,16896.00,0,0,0,2024-10-20 13:31:00,96,0.00
383095,4000,31060794,5045.00,687.00,5,2824512055,1,0,0,2024-10-27 19:06:00,1,2024-11-21 03:16:03.455857000,14544.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,32976.00,0,0,0,2024-10-15 19:06:00,48,0.00
383095,4000,31060787,4509.00,687.00,5,2824512055,1,0,0,2024-10-27 19:06:00,1,2024-11-21 03:16:03.455857000,13008.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,32976.00,0,0,0,2024-10-15 19:06:00,48,0.00
73296,9808,31059608,13401.00,199.00,5,5974122182,1,0,0,2024-11-03 12:37:00,1,2024-11-21 03:16:03.455857000,22400.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,597.00,0,0,0,2024-11-18 00:24:00,3,24875.00
103717,9806,31060794,9701.00,200.00,1,9847342184,1,0,0,2024-10-27 16:59:00,1,2024-11-21 03:16:03.455857000,19200.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,800.00,0,0,0,2024-11-18 00:41:00,4,18400.00
65484,9810,31059608,15949.00,185.00,1,6364612200,1,0,0,2024-11-10 14:47:00,51,2024-11-21 03:16:03.455857000,24948.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,555.00,0,0,0,2024-11-18 00:27:00,3,27935.00
17776,9597,31060787,6959.00,327.00,1,5677652078,1,0,0,2024-10-21 15:26:00,1,2024-11-21 03:16:03.455857000,16458.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1635.00,0,0,0,2024-11-18 00:23:00,5,23871.00
74584,9569,31060787,16365.00,292.00,6,5946382054,1,0,0,2024-10-20 14:47:00,1,2024-11-21 03:16:03.455857000,25864.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1460.00,0,0,0,2024-11-18 00:25:00,5,43508.00
335380,4000,31060794,13145.00,255.00,4,2546762021,1,0,0,2024-11-02 17:40:00,1,2024-11-21 03:16:03.455857000,22644.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,26010.00,0,0,0,2024-10-23 17:40:00,102,0.00
799432,8223,31060794,10595.00,554.00,9,6619022142,1,0,0,2024-11-02 16:44:00,1,2024-11-21 03:16:03.455857000,20094.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,2216.00,0,0,0,2024-11-17 00:24:00,4,54292.00
799432,8223,31060787,10595.00,554.00,9,6619022142,1,0,0,2024-11-02 16:44:00,1,2024-11-21 03:16:03.455857000,20094.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,2216.00,0,0,0,2024-11-17 00:24:00,4,54292.00
613185,4000,31060794,12351.00,225.00,6,5072882225,1,0,0,2024-11-16 15:06:00,1,2024-11-21 03:16:03.455857000,21850.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,25875.00,0,0,0,2024-10-30 15:06:00,115,0.00
103295,8233,31060794,14053.00,214.00,2,18666152503,1,0,0,2024-11-09 00:00:00,1,2024-11-21 03:16:03.455857000,23552.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,642.00,0,0,0,2024-11-20 00:00:00,3,26750.00
1249923,4000,31060787,7421.00,235.00,2,17627942286,1,0,0,2024-11-10 20:39:00,1,2024-11-21 03:16:03.455857000,16920.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,16920.00,0,0,0,2024-10-28 20:39:00,72,0.00
755673,4000,31059608,3143.00,467.00,5,8759752367,1,0,0,2024-11-12 16:30:00,1,2024-11-21 03:16:03.455857000,12142.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,12142.00,0,0,0,2024-10-30 16:30:00,26,0.00
60970,4000,31059608,12974.00,352.00,1,419791256,1,0,0,2024-11-03 16:03:00,1,2024-11-21 03:16:03.455857000,20174.00,2799.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,54208.00,0,0,0,2024-10-27 16:03:00,154,0.00
52775,8507,31060794,13247.00,255.00,4,9877352222,1,0,0,2024-11-06 15:44:00,1,2024-11-21 03:16:03.455857000,22746.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,324.00,0,0,0,2024-11-20 00:21:00,1,25686.00
28307,9818,31060787,4619.00,362.00,3,5072562225,1,1,0,2024-11-10 19:03:00,1,2024-11-21 03:16:03.455857000,14118.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,724.00,0,0,0,2024-11-17 23:48:45,2,13394.00
1043706,8155,31059608,13947.00,207.00,7,9074481037,1,0,0,2024-11-09 18:31:00,1,2024-11-21 03:16:03.455857000,22946.00,1000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,31878.00,0,0,0,2024-10-27 18:31:00,154,0.00
1636294,4000,31060794,10595.00,197.00,7,687358101245,1,0,0,2024-11-05 20:03:00,1,2024-11-21 03:16:03.455857000,20094.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,20094.00,0,0,0,2024-10-26 20:03:00,102,0.00
70771,8223,31059608,14023.00,163.00,2,6614252142,1,0,0,2024-10-29 19:40:00,1,2024-11-21 03:16:03.455857000,22022.00,2000.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,652.00,0,0,0,2024-11-19 00:22:00,4,24450.00
78743,9069,31060794,10595.00,498.00,2,6614262142,1,0,0,2024-10-27 19:42:00,1,2024-11-21 03:16:03.455857000,20094.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1992.00,0,0,0,2024-11-18 00:23:00,4,48804.00
78743,9069,31060787,10595.00,498.00,2,6614262142,1,0,0,2024-10-27 19:42:00,1,2024-11-21 03:16:03.455857000,20094.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,1992.00,0,0,0,2024-11-18 00:23:00,4,48804.00
1748468,4000,31059608,5376.00,365.00,7,15701332107,1,0,0,2024-11-01 13:38:00,1,2024-11-21 03:16:03.455857000,11136.00,4239.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,35040.00,0,0,0,2024-10-15 13:38:00,96,0.00
799338,4000,31060794,15757.00,495.00,8,6618532142,1,0,0,2024-11-09 20:35:00,1,2024-11-21 03:16:03.455857000,25256.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,76230.00,0,0,0,2024-10-24 20:35:00,154,0.00
799338,4000,31060787,12574.00,495.00,8,6618532142,1,0,0,2024-11-09 20:35:00,1,2024-11-21 03:16:03.455857000,40348.00,1899.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,76230.00,0,0,0,2024-10-24 20:35:00,154,0.00
39805,9813,31060794,8731.00,218.00,8,2825542055,1,0,0,2024-10-28 13:47:00,1,2024-11-21 03:16:03.455857000,17280.00,950.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,872.00,0,0,0,2024-11-18 00:18:00,4,20056.00
45189,9675,31060794,10949.00,213.00,5,4255362111,1,0,0,2024-11-10 18:02:00,1,2024-11-21 03:16:03.455857000,20448.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,0.00,852.00,0,0,0,2024-11-17 00:21:00,4,19596.00
103682,8912,31060794,18067.00,179.00,3,687353841245,1,0,0,2024-11-03 17:09:00,1,2024-11-21 03:16:03.455857000,27566.00,0.00,2024-11-21 04:08:10.371061000,V,      ,0,6.00,358.00,0,0,0,2024-11-17 00:45:00,2,27208.00
